subject,idx,right0_1,right0_2,right2_1,right2_2,targ0_1,targ0_2,targ2_1,targ2_2,ResponseTime2_1,ResponseTime2_2,ResponseTime0_1,ResponseTime0_2
sub_01,1,97.101,96.202,88.405,92.307,17.391,18.987,20.289,20.512,0.8909,0.8000,0.7459,0.6616
sub_02,2,72.972,83.75,92.0,95.945,21.621,20.0,21.333,21.621,0.9740,0.9171,1.1522,0.9048
sub_03,3,96.25,98.734,96.25,98.734,20.0,18.987,20.0,20.253,0.9954,0.9820,0.8189,0.7864
sub_04,4,97.333,100.0,97.222,100.0,17.333,20.833,20.833,21.917,0.9856,0.7809,0.6747,0.5724
